timestamp,frame_number,class_id,class_name,x1,y1,x2,y2,confidence,light_state,violation
20250421_181507,4,2,car,1014,448,1216,627,0.9130409955978394,green,NO
20250421_181507,4,7,truck,1052,727,1598,1198,0.8516290783882141,green,NO
20250421_181507,4,3,motorcycle,252,487,402,590,0.7795296311378479,green,NO
20250421_181507,4,3,motorcycle,0,485,126,573,0.747921884059906,green,NO
20250421_181507,4,3,motorcycle,915,366,1029,435,0.7311811447143555,green,NO
20250421_181507,4,3,motorcycle,441,833,526,948,0.689676821231842,green,NO
20250421_181507,4,1,bicycle,1058,354,1146,410,0.6880718469619751,green,NO
20250421_181507,4,3,motorcycle,440,502,603,592,0.6814760565757751,green,NO
20250421_181507,4,3,motorcycle,359,445,459,528,0.6784972548484802,green,NO
20250421_181507,4,3,motorcycle,595,796,656,910,0.6444937586784363,green,NO
20250421_181507,4,3,motorcycle,815,729,940,907,0.6244633793830872,green,NO
20250421_181507,4,3,motorcycle,698,410,839,502,0.6200419068336487,green,NO
20250421_181507,4,3,motorcycle,374,356,410,408,0.48023781180381775,green,NO
20250421_181507,4,2,car,198,172,254,231,0.45953240990638733,green,NO
20250421_181507,4,2,car,36,224,81,268,0.4483800530433655,green,NO
20250421_181507,4,3,motorcycle,798,358,866,430,0.43726933002471924,green,NO
20250421_181508,5,2,car,1040,426,1252,595,0.912190318107605,green,NO
20250421_181508,5,3,motorcycle,347,1070,457,1198,0.8336421251296997,green,NO
20250421_181508,5,3,motorcycle,67,471,220,570,0.7855806946754456,green,NO
20250421_181508,5,3,motorcycle,676,370,785,442,0.7406677603721619,green,NO
20250421_181508,5,3,motorcycle,783,705,899,862,0.6842510104179382,green,NO
20250421_181508,5,3,motorcycle,442,836,527,949,0.6836232542991638,green,NO
20250421_181508,5,3,motorcycle,514,499,668,590,0.6677367091178894,green,NO
20250421_181508,5,1,bicycle,386,479,522,575,0.661589503288269,green,NO
20250421_181508,5,3,motorcycle,596,796,656,907,0.6520611643791199,green,NO
20250421_181508,5,3,motorcycle,833,402,949,486,0.6308721303939819,green,NO
20250421_181508,5,3,motorcycle,980,358,1071,415,0.6206687092781067,green,NO
20250421_181508,5,3,motorcycle,377,342,409,391,0.5728718042373657,green,NO
20250421_181508,5,2,car,199,172,255,226,0.5201396942138672,green,NO
20250421_181508,5,7,truck,1006,656,1549,1199,0.47748687863349915,green,NO
20250421_181508,5,2,car,36,224,81,268,0.44364577531814575,green,NO
20250421_181508,5,2,car,1006,655,1550,1198,0.40408608317375183,green,NO
20250421_181508,6,2,car,1075,404,1295,571,0.8788439631462097,green,NO
20250421_181508,6,3,motorcycle,305,999,408,1145,0.8343105316162109,green,NO
20250421_181508,6,3,motorcycle,163,479,316,562,0.7684616446495056,green,NO
20250421_181508,6,7,truck,966,595,1439,1076,0.7549716234207153,green,NO
20250421_181508,6,3,motorcycle,443,835,527,949,0.6926527619361877,green,NO
20250421_181508,6,3,motorcycle,0,512,105,604,0.6710050702095032,green,NO
